x1,x2,class
0.3,0.69,C1
-0.77,0.55,C1
-0.14,0.89,C1
-0.85,0.92,C1
-0.26,0.69,C1
-0.96,0.12,C1
-0.93,0.3,C1
0.0,-0.82,C1
-0.64,-0.26,C1
-0.74,-0.65,C1
-0.83,-0.45,C1
0.32,-0.01,C2
0.96,0.34,C1
0.86,0.43,C1
0.21,0.97,C1
-0.34,-0.12,C2
0.15,0.03,C2
-0.79,0.12,C1
0.28,-0.58,C1
-0.79,-0.93,C1
-0.27,0.65,C1
-0.32,-0.57,C1
-0.36,-0.2,C2
0.26,0.92,C1
-0.17,-0.61,C1
0.95,-0.56,C1
-0.07,-0.81,C1
0.49,-0.28,C2
0.44,-0.29,C2
-0.53,0.96,C1
0.25,0.94,C1
-0.25,-0.18,C2
0.62,-0.99,C1
0.36,0.95,C1
-0.72,0.46,C1
-0.45,0.07,C2
-0.92,-0.86,C1
0.04,-0.81,C1
0.67,0.81,C1
0.53,-0.08,C2
0.08,-0.34,C2
-0.22,0.21,C2
0.08,-0.33,C2
0.35,0.28,C2
0.32,0.26,C2
0.11,-0.02,C2
-0.54,0.09,C2
-0.17,-0.23,C2
0.34,0.1,C2
-0.21,-0.08,C2
0.62,0.06,C2
0.04,-0.44,C2
0.01,-0.41,C2
-0.33,-0.26,C2
0.45,-0.29,C2
0.49,-0.05,C2
0.06,0.09,C2
0.32,0.38,C2
0.02,0.42,C2
0.27,0.33,C2
0.25,0.28,C2
-0.08,-0.27,C2
